0	25	83.0
0	26	54.0
0	228	44.0
0	229	136.0
0	230	30.0
1	24	29.0
1	222	32.0
1	223	22.0
1	226	13.0
1	227	84.0
1	228	79.0
2	24	46.0
2	219	26.0
2	220	76.0
2	221	58.0
2	222	35.0
2	223	13.0
2	225	83.0
2	226	92.0
3	23	60.0
3	24	19.0
3	216	34.0
3	217	59.0
3	218	70.0
3	219	42.0
3	220	32.0
3	223	244.0
3	224	130.0
4	23	49.0
4	213	24.0
4	214	61.0
4	215	97.0
4	216	88.0
4	217	16.0
4	222	36.0
5	22	31.0
5	23	18.0
5	210	4.0
5	211	39.0
5	212	75.0
5	213	73.0
5	214	22.0
6	22	73.0
6	208	71.0
6	209	70.0
6	210	57.0
6	211	14.0
7	21	14.0
7	22	26.0
7	205	58.0
7	206	68.0
7	207	97.0
7	208	39.0
8	21	67.0
8	202	34.0
8	203	130.0
8	204	72.0
8	205	50.0
9	20	28.0
9	21	27.0
9	199	32.0
9	200	231.0
9	201	137.0
9	202	35.0
10	20	34.0
10	196	14.0
10	197	79.0
10	198	156.0
10	199	50.0
11	20	30.0
11	194	76.0
11	195	93.0
11	196	69.0
11	225	9.0
12	19	45.0
13	19	28.0
13	32	33.0
13	33	26.0
13	81	18.0
13	82	31.0
13	208	51.0
14	18	65.0
14	30	9.0
14	31	38.0
14	32	30.0
14	81	22.0
14	82	146.0
14	224	12.0
15	18	27.0
15	29	33.0
15	30	29.0
15	223	7.0
15	224	36.0
16	17	38.0
16	23	27.0
16	24	101.0
16	27	26.0
16	28	50.0
16	29	33.0
16	223	30.0
16	224	29.0
17	17	38.0
17	23	40.0
17	24	124.0
17	25	5.0
17	26	56.0
17	27	50.0
17	223	48.0
18	16	74.0
18	23	14.0
18	24	29.0
18	25	64.0
18	26	40.0
18	223	49.0
19	16	79.0
19	23	57.0
19	24	56.0
19	25	9.0
19	222	37.0
19	223	25.0
20	15	6.0
20	21	26.0
20	22	54.0
20	23	26.0
20	222	89.0
21	20	45.0
21	21	39.0
21	75	82.0
21	90	21.0
21	91	30.0
21	222	79.0
22	15	63.0
22	16	58.0
22	17	18.0
22	18	36.0
22	19	43.0
22	20	7.0
22	76	78.0
22	77	82.0
22	90	20.0
22	91	48.0
22	221	40.0
22	222	18.0
23	16	50.0
23	17	143.0
23	18	50.0
23	78	116.0
23	79	35.0
23	91	73.0
23	221	65.0
24	15	30.0
24	16	60.0
24	17	12.0
24	79	141.0
24	80	194.0
24	91	77.0
24	221	51.0
25	14	40.0
25	15	30.0
25	81	85.0
25	82	72.0
25	91	76.0
25	220	41.0
26	12	88.0
26	13	68.0
26	82	29.0
26	83	102.0
26	84	19.0
26	91	63.0
26	92	21.0
26	220	70.0
27	10	12.0
27	11	47.0
27	12	62.0
27	84	67.0
27	85	119.0
27	91	27.0
27	92	48.0
27	220	58.0
28	9	39.0
28	10	81.0
28	85	4.0
28	86	119.0
28	87	39.0
28	92	59.0
28	219	79.0
29	7	16.0
29	8	76.0
29	9	33.0
29	87	42.0
29	88	87.0
29	89	4.0
29	92	115.0
29	219	64.0
30	6	74.0
30	7	130.0
30	89	106.0
30	90	74.0
30	92	55.0
30	219	172.0
30	245	11.0
31	5	79.0
31	6	38.0
31	90	52.0
31	91	144.0
31	92	148.0
31	219	90.0
31	246	5.0
31	247	18.0
32	1	10.0
32	2	11.0
32	3	47.0
32	4	44.0
32	92	246.0
32	93	96.0
32	249	11.0
32	250	16.0
33	1	119.0
33	2	101.0
33	3	38.0
33	93	18.0
33	94	75.0
33	95	30.0
33	252	13.0
33	253	7.0
34	0	26.0
34	1	38.0
34	95	62.0
34	96	77.0
34	106	5.0
34	255	28.0
35	0	17.0
35	97	135.0
35	98	102.0
35	106	12.0
36	98	55.0
36	99	118.0
36	100	13.0
36	105	12.0
37	100	67.0
37	101	68.0
37	105	8.0
38	101	28.0
38	102	119.0
38	103	54.0
38	104	49.0
38	105	26.0
39	103	63.0
39	104	185.0
39	105	22.0
40	104	45.0
40	105	87.0
40	106	54.0
40	107	18.0
41	106	54.0
41	107	157.0
41	108	105.0
41	255	15.0
42	107	6.0
42	108	115.0
42	109	64.0
43	109	102.0
43	110	137.0
43	111	39.0
44	109	15.0
44	110	80.0
44	111	95.0
44	112	71.0
45	112	23.0
45	113	92.0
45	114	48.0
46	114	61.0
46	115	70.0
46	116	15.0
47	115	22.0
47	116	100.0
47	117	50.0
48	117	44.0
48	118	84.0
48	119	27.0
49	118	13.0
49	119	60.0
49	120	62.0
50	120	49.0
50	121	74.0
50	122	39.0
51	122	109.0
51	123	191.0
51	124	11.0
52	123	28.0
52	124	76.0
52	125	56.0
53	125	53.0
53	126	81.0
53	127	25.0
54	126	21.0
54	127	65.0
54	128	50.0
54	138	24.0
54	139	29.0
55	128	39.0
55	129	61.0
55	130	27.0
55	137	21.0
55	138	45.0
56	129	14.0
56	130	54.0
56	131	48.0
56	132	17.0
56	137	85.0
56	138	38.0
57	131	45.0
57	132	76.0
57	133	46.0
57	136	27.0
57	137	113.0
57	138	31.0
58	132	28.0
58	133	60.0
